City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,troitsko-pechorsk,62.7084,56.1964,-17.25,99,100,2.56,RU,1670288166
1,georgetown,5.4112,100.3354,27.35,92,20,0.51,MY,1670288166
2,punta arenas,-53.15,-70.9167,7.06,53,40,5.66,CL,1670288167
3,puerto ayora,-0.7393,-90.3518,21.42,94,29,2.68,EC,1670288167
4,albany,42.6001,-73.9662,3.66,55,96,2.39,US,1670288168
5,souris,49.6172,-100.2612,-17.92,95,82,1.41,CA,1670288168
6,saint-augustin,51.226,-58.6502,-6.16,86,15,0.48,CA,1670288169
7,iqaluit,63.7506,-68.5145,-15.15,85,40,1.54,CA,1670288169
8,venezuela,8.0,-66.0,25.81,58,100,6.88,VE,1670288157
9,vengerovo,55.6848,76.7471,-24.4,94,78,1.52,RU,1670288170
10,ushuaia,-54.8,-68.3,7.79,53,75,8.75,AR,1670288171
11,dashitou,43.3067,128.5114,-10.31,63,0,6.06,CN,1670288171
12,atuona,-9.8,-139.0333,25.36,74,41,6.49,PF,1670288171
13,namatanai,-3.6667,152.4333,28.86,71,70,3.28,PG,1670288172
14,belmonte,-15.8631,-38.8828,23.18,86,100,2.75,BR,1670288172
15,luganville,-15.5333,167.1667,30.43,56,48,2.88,VU,1670288173
16,nikolskoye,59.7035,30.7861,-6.06,88,100,3.68,RU,1670288173
17,cape town,-33.9258,18.4232,17.23,70,20,5.66,ZA,1670288041
18,busselton,-33.65,115.3333,19.35,44,0,5.67,AU,1670288174
19,sterling,39.0062,-77.4286,6.2,65,0,3.6,US,1670288175
20,ribeira grande,38.5167,-28.7,14.32,86,100,10.28,PT,1670288175
21,camargo,27.6667,-105.1667,23.33,30,99,1.68,MX,1670288176
22,hilo,19.7297,-155.09,25.69,92,100,2.68,US,1670288174
23,ponta do sol,32.6667,-17.1,18.73,75,100,0.83,PT,1670288176
24,rikitea,-23.1203,-134.9692,23.94,81,100,6.1,PF,1670288177
25,jianhu,29.9799,120.5712,6.97,72,6,0.82,CN,1670288177
26,mataura,-46.1927,168.8643,10.27,44,27,2.53,NZ,1670288178
27,bedesa,8.9,40.7833,14.98,43,6,0.63,ET,1670288178
28,tuktoyaktuk,69.4541,-133.0374,-27.0,69,75,11.32,CA,1670288179
29,abu dhabi,24.4667,54.3667,23.01,83,0,2.57,AE,1670287410
30,ninotsminda,41.2646,43.5916,-6.25,87,48,2.6,GE,1670288179
31,cabra,37.4725,-4.4421,12.15,89,100,1.11,ES,1670288180
32,kalaleh,37.3807,55.4916,3.78,87,0,0.0,IR,1670288180
33,pevek,69.7008,170.3133,-25.03,81,100,0.84,RU,1670288181
34,lebu,-37.6167,-73.65,14.8,88,0,0.99,CL,1670288181
35,gushikawa,26.3544,127.8686,18.57,88,100,8.77,JP,1670288182
36,tasiilaq,65.6145,-37.6368,-9.01,60,6,2.0,GL,1670288182
37,upernavik,72.7868,-56.1549,-2.58,65,36,4.85,GL,1670288183
38,hobart,-42.8794,147.3294,16.7,58,75,8.23,AU,1670288184
39,forestville,38.8451,-76.875,5.55,68,0,0.0,US,1670288184
40,ilulissat,69.2167,-51.1,-1.89,69,55,5.06,GL,1670288184
41,tiksi,71.6872,128.8694,-25.67,94,100,5.6,RU,1670288185
42,tadine,-21.55,167.8833,28.48,75,78,4.4,NC,1670288185
43,safita,34.8205,36.1153,12.38,67,2,2.0,SY,1670288186
44,dzaoudzi,-12.7887,45.2699,26.94,78,40,3.6,YT,1670288186
45,carnarvon,-24.8667,113.6333,22.64,64,47,7.02,AU,1670288187
46,dikson,73.5069,80.5464,-5.37,96,100,5.47,RU,1670288187
47,hermanus,-34.4187,19.2345,15.25,70,92,1.02,ZA,1670288188
